city,datetime,temperature,feels_like,humidity,weather,wind_speed,rain_3h
Bayeux,2026-06-25 09:00:00,35.49,35.39,30,scattered clouds,5.83,0.0
Bayeux,2026-06-25 12:00:00,39.6,39.11,21,scattered clouds,4.83,0.0
Bayeux,2026-06-25 15:00:00,40.29,39.18,18,scattered clouds,4.63,0.0
Bayeux,2026-06-25 18:00:00,38.9,37.37,18,scattered clouds,5.08,0.0
Bayeux,2026-06-25 21:00:00,27.97,28.0,45,overcast clouds,6.73,0.0
Bayeux,2026-06-26 00:00:00,19.94,20.21,85,light rain,5.65,0.39
Bayeux,2026-06-26 03:00:00,16.45,16.55,92,overcast clouds,6.01,0.0
Bayeux,2026-06-26 06:00:00,18.16,18.33,88,broken clouds,5.74,0.0
Bayeux,2026-06-26 09:00:00,26.21,26.21,46,scattered clouds,5.58,0.0
Bayeux,2026-06-26 12:00:00,30.16,28.9,30,scattered clouds,5.78,0.0
Bayeux,2026-06-26 15:00:00,27.12,27.11,43,clear sky,5.86,0.0
Bayeux,2026-06-26 18:00:00,20.73,20.56,65,clear sky,4.82,0.0
Bayeux,2026-06-26 21:00:00,16.58,16.62,89,clear sky,2.4,0.0
Bayeux,2026-06-27 00:00:00,17.4,17.31,81,scattered clouds,1.2,0.0
Bayeux,2026-06-27 03:00:00,15.93,15.88,88,clear sky,2.53,0.0
Bayeux,2026-06-27 06:00:00,20.14,19.88,64,clear sky,2.59,0.0
Bayeux,2026-06-27 09:00:00,24.56,24.38,50,scattered clouds,5.09,0.0
Bayeux,2026-06-27 12:00:00,27.16,27.15,43,scattered clouds,6.77,0.0
Le Havre,2026-06-22 15:00:00,29.53,30.52,51,scattered clouds,6.52,0.0
Le Havre,2026-06-22 18:00:00,28.94,30.08,54,few clouds,9.47,0.0
Le Havre,2026-06-22 21:00:00,23.14,23.29,68,clear sky,3.74,0.0
Le Havre,2026-06-23 00:00:00,22.17,22.22,68,light rain,4.79,0.35
Le Havre,2026-06-23 03:00:00,21.22,21.51,81,few clouds,3.7,0.0
Le Havre,2026-06-23 06:00:00,22.22,22.56,79,few clouds,4.34,0.0
Le Havre,2026-06-23 09:00:00,26.18,26.18,61,scattered clouds,1.51,0.0
Le Havre,2026-06-23 12:00:00,26.9,28.17,63,scattered clouds,4.29,0.0
Le Havre,2026-06-23 15:00:00,29.04,29.96,52,clear sky,5.93,0.0
Le Havre,2026-06-23 18:00:00,28.1,28.85,53,clear sky,4.6,0.0
Le Havre,2026-06-23 21:00:00,24.91,24.97,58,broken clouds,4.72,0.0
Le Havre,2026-06-24 00:00:00,23.14,23.21,65,broken clouds,2.88,0.0
Le Havre,2026-06-24 03:00:00,22.53,22.51,64,broken clouds,2.73,0.0
Le Havre,2026-06-24 06:00:00,23.4,23.28,57,broken clouds,3.54,0.0
Le Havre,2026-06-24 09:00:00,26.85,27.34,51,overcast clouds,1.24,0.0
Le Havre,2026-06-24 12:00:00,25.34,25.55,62,broken clouds,5.66,0.0
Le Havre,2026-06-24 15:00:00,27.61,28.18,52,scattered clouds,6.73,0.0
Le Havre,2026-06-24 18:00:00,28.68,28.74,45,few clouds,6.71,0.0
Le Havre,2026-06-24 21:00:00,26.55,26.55,48,overcast clouds,4.72,0.0
